method,lat,lon,wind_mph
gaussian,41.44787,-72.54465,9.8
gaussian,41.52157,-73.15595,12.7
gaussian,41.90387,-72.12455,15.7
gaussian,41.83903,-72.83137,20.0
gaussian,41.57964,-72.51088,8.7
gaussian,41.5155,-72.29973,13.7
gaussian,41.76495,-72.67097,3.4
gaussian,41.40167,-73.39799,11.2
gaussian,41.81853,-72.92584,21.3
gaussian,41.98736,-72.11596,18.0
gaussian,41.45764,-73.20948,11.2
gaussian,41.97481,-71.88116,15.0
gaussian,41.82362,-73.06293,18.6
gaussian,41.29834,-72.55068,12.0
gaussian,41.6629,-73.24229,11.2
gaussian,41.95002,-72.38405,21.3
gaussian,41.82672,-71.92762,9.1
gaussian,41.52474,-72.4848,16.6
gaussian,41.86057,-72.44604,22.4
gaussian,41.43425,-73.03964,12.2
gaussian,41.29635,-73.19429,13.0
gaussian,41.36642,-73.40184,8.8
gaussian,41.54141,-71.97783,18.8
gaussian,41.65958,-71.85463,8.4
gaussian,41.46265,-72.16192,13.0
gaussian,41.90534,-73.09886,10.8
gaussian,41.41698,-73.0769,12.4
gaussian,41.28816,-72.7723,11.2
gaussian,41.7651,-72.62206,2.0
gaussian,41.92127,-71.941,14.7
gaussian,41.78202,-72.37642,6.2
gaussian,41.97602,-72.39769,21.1
gaussian,41.86748,-72.66801,16.8
gaussian,41.95232,-73.41817,13.6
gaussian,41.96831,-72.47005,19.5
gaussian,41.74615,-73.13231,16.6
gaussian,41.98926,-72.24614,18.5
gaussian,41.67867,-72.19952,6.1
gaussian,41.46715,-71.85439,21.6
gaussian,41.65789,-72.82875,3.1
gaussian,41.83583,-73.14574,16.6
gaussian,41.5225,-72.34575,17.9
gaussian,41.96144,-71.90793,14.9
gaussian,41.48201,-72.66445,9.0
gaussian,41.53845,-71.95004,18.8
gaussian,41.46282,-72.54155,11.3
gaussian,41.57347,-72.88649,3.9
gaussian,41.08719,-73.71432,4.9
gaussian,41.78589,-72.95345,23.7
gaussian,41.51042,-73.17273,12.4
gaussian,41.2602,-72.95246,12.0
gaussian,41.78527,-73.36896,15.4
gaussian,41.36989,-72.2768,7.4
gaussian,41.49204,-71.96525,17.3
gaussian,41.65488,-73.26113,11.0
gaussian,41.3386,-72.21583,12.8
